topic,the concept of the topic,candidate,candidate masked,label,wikipedia article name,wikipedia url
We should limit executive compensation,executive compensation,"A say on pay - a non-binding vote of the general meeting to approve director pay packages, is practised in a growing number of countries.","A say on pay - a non-binding vote of the general meeting to approve TOPIC_CONCEPT packages, is practised in a growing number of countries.",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"A February 2009 report, published by the Institute for Policy Studies notes the impact excessive executive compensation has on taxpayers: U.S. taxpayers subsidize excessive executive compensation - by more than $20 billion per year - via a variety of tax and accounting loopholes.","A February 2009 report, published by the Institute for Policy Studies notes the impact excessive TOPIC_CONCEPT has on taxpayers: U.S. taxpayers subsidize excessive TOPIC_CONCEPT - by more than $20 billion per year - via a variety of tax and accounting loopholes.",1,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,The Financial Crisis has had a relatively small net effect on executive pay.,The Financial Crisis has had a relatively small net effect on TOPIC_CONCEPT.,0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"1990-1992 Lineberger Cancer Center, SPA personnel compensation Committee .","1990-1992 Lineberger Cancer Center, SPA personnel TOPIC_CONCEPT .",0,Edison Liu,https://en.wikipedia.org/wiki/Edison_Liu
We should limit executive compensation,executive compensation,"Countering the public uproar over excessive executive pay (including backdating stock options, golden parachutes for nonperformance, and extravagant retirement packages), Welch stated that CEO compensation should continue to be dictated by the free market, without interference from government or other outside agencies [REF].","Countering the public uproar over excessive TOPIC_CONCEPT (including backdating stock options, golden parachutes for nonperformance, and extravagant retirement packages), Welch stated that CEO compensation should continue to be dictated by the free market, without interference from government or other outside agencies [REF].",0,Jack Welch,https://en.wikipedia.org/wiki/Jack_Welch
We should limit executive compensation,executive compensation,"In 2007, the Chairman of the Financial Services Committee Rep. Barney Frank passed legislation in the House of Representatives that gave shareholders a non-binding vote on executive compensation.","In 2007, the Chairman of the Financial Services Committee Rep. Barney Frank passed legislation in the House of Representatives that gave shareholders a non-binding vote on TOPIC_CONCEPT.",0,Say on pay,https://en.wikipedia.org/wiki/Say_on_pay
We should limit executive compensation,executive compensation,An example is Pfizer Inc.'s 10-K[REF] which references the executive compensation report to be found in the Proxy Information [REF] Pfizer's response to this item comprised p. 38-77 pages of the 2009 Annual Report.,An example is Pfizer Inc.'s 10-K[REF] which references TOPIC_CONCEPT report to be found in the Proxy Information [REF] Pfizer's response to this item comprised p. 38-77 pages of the 2009 Annual Report.,0,Regulation S-K,https://en.wikipedia.org/wiki/Regulation_S-K
We should limit executive compensation,executive compensation,"In January 2012, British Prime Minister David Cameron announced his intention to tackle excessive executive pay and crony capitalism, which Financial Times columnist Philip Stephens suggested may be an indication that the PM has signed up to Occupy values [REF].","In January 2012, British Prime Minister David Cameron announced his intention to tackle excessive TOPIC_CONCEPT and crony capitalism, which Financial Times columnist Philip Stephens suggested may be an indication that the PM has signed up to Occupy values [REF].",0,Occupy London,https://en.wikipedia.org/wiki/Occupy_London
We should limit executive compensation,executive compensation,Defenders of high executive pay say that the global war for talent and the rise of private equity firms can explain much of the increase in executive pay.,Defenders of high TOPIC_CONCEPT say that the global war for talent and the rise of private equity firms can explain much of the increase in TOPIC_CONCEPT.,0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"In 2005, Goodwill Industries of the Columbia Willamette (GICW), Goodwill's Portland, Oregon branch, came under scrutiny due to executive compensation that the Oregon attorney general's office concluded was ""unreasonable.""","In 2005, Goodwill Industries of the Columbia Willamette (GICW), Goodwill's Portland, Oregon branch, came under scrutiny due to TOPIC_CONCEPT that the Oregon attorney general's office concluded was ""unreasonable.""",0,Goodwill Industries,https://en.wikipedia.org/wiki/Goodwill_Industries
We should limit executive compensation,executive compensation,The U.S. Congress is currently debating mandating shareholder approval of executive pay packages at publicly traded U.S. companies [REF].,The U.S. Congress is currently debating mandating shareholder approval of TOPIC_CONCEPT packages at publicly traded U.S. companies [REF].,0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"Executive compensation could be checked by taxing more heavily the highest earners, for instance by taking a greater percentage of income over $200,000.","TOPIC_CONCEPT could be checked by taxing more heavily the highest earners, for instance by taking a greater percentage of income over $200,000.",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"The Act purports to provide rigorous standards and supervision to protect the economy and American consumers, investors and businesses, purports to end taxpayer funded bailouts of financial institutions, claims to provide for an advanced warning system on the stability of the economy, creates rules on executive compensation and corporate governance, and eliminates some loopholes that led to the 2008 economic recession [REF].","The Act purports to provide rigorous standards and supervision to protect the economy and American consumers, investors and businesses, purports to end taxpayer funded bailouts of financial institutions, claims to provide for an advanced warning system on the stability of the economy, creates rules on TOPIC_CONCEPT and corporate governance, and eliminates some loopholes that led to the 2008 economic recession [REF].",0,Dodd–Frank Wall Street Reform and Consumer Protection Act,https://en.wikipedia.org/wiki/Dodd–Frank_Wall_Street_Reform_and_Consumer_Protection_Act
We should limit executive compensation,executive compensation,"On April 21, 2009, it was revealed that a $750 million loan from the government was turned down, on the grounds that it would have required that executive compensation be capped [REF].","On April 21, 2009, it was revealed that a $750 million loan from the government was turned down, on the grounds that it would have required that TOPIC_CONCEPT be capped [REF].",0,Robert Nardelli,https://en.wikipedia.org/wiki/Robert_Nardelli
We should limit executive compensation,executive compensation,"In December 2011, the non-partisan organization Public Campaign criticized Navistar International for spending $6.31 million on lobbying and not paying any taxes during 2008-2010, instead getting $18 million in tax rebates, despite making a profit of $896 million and increasing executive pay by 81% [REF].","In December 2011, the non-partisan organization Public Campaign criticized Navistar International for spending $6.31 million on lobbying and not paying any taxes during 2008-2010, instead getting $18 million in tax rebates, despite making a profit of $896 million and increasing TOPIC_CONCEPT by 81% [REF].",0,Navistar International,https://en.wikipedia.org/wiki/Navistar_International
