topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
abortion	http://2012election.procon.org/view.additional-resource.php?resourceID=004933	http://web.archive.org/web/20150415052859/http://2012election.procon.org/view.additional-resource.php?resourceID=004933	a1d2d5656a5029eb558812b8259b6567	This means it has to steer monetary policy to ( a ) keep prices stable , and to ( b ) keep unemployment low and the economy growing .	NoArgument	val
abortion	http://www.listland.com/top-10-arguments-in-support-of-abortion/	http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/	a4374eb8cae2c1d52499d0489c7bfb1d	Where did you get that ?	NoArgument	train
abortion	http://www.americamagazine.org/issue/feminist-case-against-abortion	http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion	825b1a5e0e7915950a2a4a657230d530	Nathanson later became pro-life .	NoArgument	val
abortion	http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	644379f8e228f50f0871270164878c9b	In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .	Argument_against	train
abortion	http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html	http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html	51eefb36e8947e42403e336536cb00f0	With that I would like to give everyone something to contemplate .	NoArgument	test
abortion	http://www.newyorker.com/news/daily-comment/arguing-abortion	http://web.archive.org/web/20160423035951/http://www.newyorker.com:80/news/daily-comment/arguing-abortion	4662ecf604672800eec5921f49f14377	The choice — the only actual choice , in the world as it really is — is between safe , legal abortion and dangerous , illegal abortion .	Argument_for	train
abortion	http://www.americamagazine.org/issue/feminist-case-against-abortion	http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion	3c7c91561f821091bfa71eca931132c4	It is heartwarming to see a support structure for women being developed to counter the circumstances ( including poverty and the convenience of some males ) that prompt abortion .	NoArgument	train
abortion	http://www.abort73.com/abortion/	http://web.archive.org/web/20160409155215/http://www.abort73.com:80/abortion/	27cefaf95adf25e84c58e4dbe36de89c	It stood in marked contrast to the more primitive medical traditions that blurred the lines between killing and curing .	NoArgument	train
abortion	http://www.peterkreeft.com/topics-more/personhood_apple.htm	http://web.archive.org/web/20161109201817/http://www.peterkreeft.com/topics-more/personhood_apple.htm	d3aff9ac5bcede0858a2fe73bbd9b93e	There is no third possibility .	NoArgument	train
abortion	http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html	http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html	aa7ee4ab3a30b2a0a49ac123f4be592f	Do not judge , or you may be judged yourself .	NoArgument	test
abortion	http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	1aa2de4124f78cf3d2f8df5bfa552671	But I am glad I do n't live in a society with a " you had sex , ( or were raped ) it 's your problem now , no matter how much you hate kids " approach to parenthood .	Argument_for	train
abortion	https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/	http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/	b26d402601f18c34d1ff6fe583654f7c	Many more studies of individual disorders among children ( ADHD , asthma , cystic fibrosis , Duchenne muscular dystrophy — the list goes on , and yes , it includes Down Syndrome ) consistently reveal poor mental health in their mothers compared to controls ( depression and anxiety are most commonly studied ) .	NoArgument	train
abortion	http://liveactionnews.org/four-non-religious-reasons-to-be-pro-life/	http://web.archive.org/web/20161025021631/http://liveactionnews.org/four-non-religious-reasons-to-be-pro-life/	8fdcc38014b9c1a1c9732552c47aa3ba	We live in a world where “ post-birth abortion ” , the murder of newborns , is gaining popularity .	Argument_against	train
abortion	http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	8ae5debfeca3aba5ee6319f9b298b157	We have quotes from hospital documents that doctors told her her chance of dying was close to 100 % without the procedure .	Argument_for	train
abortion	http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/	http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/	8def9d71c5992e1bf84750ef357b3e75	It is my privilege to care for her each day . ”	NoArgument	train
abortion	https://en.wikipedia.org/wiki/Abortion_debate	http://web.archive.org/web/20161019174345/https://en.wikipedia.org/wiki/Abortion_debate	3462100b813bab169636cf0a7cd6d4fb	Results have varied from poll to poll , country to country , and region to region , while varying with regard to different aspects of the issue .	NoArgument	test
abortion	http://www.peterkreeft.com/topics-more/personhood_apple.htm	http://web.archive.org/web/20161109201817/http://www.peterkreeft.com/topics-more/personhood_apple.htm	34d7c632e34d033da7f2de4ad8d40e95	What is abortion in each of these four cases ?	NoArgument	train
abortion	http://2012election.procon.org/view.additional-resource.php?resourceID=004933	http://web.archive.org/web/20150415052859/http://2012election.procon.org/view.additional-resource.php?resourceID=004933	ba490cacbe2d21e84399a0aa72826486	And Mitt Romney is as strong as anybody on this issue , to seeing to an end to the Castro regime , and that ’s why I think Cuban Americans are very supportive of the Romney-Ryan ticket .	NoArgument	train
abortion	http://www.balancedpolitics.org/abortion.htm	http://web.archive.org/web/20161018165433/http://balancedpolitics.org/abortion.htm	5cbb479889f08fce5006159a79fc6547	There are dozens of birth control methods that can keep you from becoming pregnant , including the 100 percent effective one : abstinence .	Argument_against	train
abortion	http://www.slideshare.net/malifa89/pro-cons-of-abortion	http://web.archive.org/web/20160101163213/http://www.slideshare.net/malifa89/pro-cons-of-abortion	4d754059d1c826fb4e43fccdce98517e	Women who have their first pregnancy terminated have five times the chance of having ectopic pregnancies .	Argument_against	train
abortion	http://www.soc.ucsb.edu/sexinfo/article/arguments-and-against-abortion	http://web.archive.org/web/20160510081940/http://www.soc.ucsb.edu:80/sexinfo/article/arguments-and-against-abortion	6aae1183b3c0a577cb9002f2e6bdcb77	Additionally , about 15 % of Americans agree that both first - and second-trimester abortions should be permitted , about 29 % say abortion should never be permitted , and 5 % are unsure .	NoArgument	test
abortion	http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/	http://web.archive.org/web/20160805225641/http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/	0ec0f5742191dabed4d542fdba524a8d	5 Liberty arguments focus less on these gendered biases and burdens on women .	NoArgument	train
abortion	https://www.theguardian.com/world/2016/sep/18/thousands-protest-against-proposed-stricter-abortion-law-in-poland	http://web.archive.org/web/20161023042824/https://www.theguardian.com/world/2016/sep/18/thousands-protest-against-proposed-stricter-abortion-law-in-poland	9d326373154606dfcf98fe48c8a15b43	He said : “ Being suspected of having Down ’s syndrome is enough to be killed .	NoArgument	val
abortion	http://www.slate.com/articles/news_and_politics/supreme_court_dispatches/2016/03/in_oral_arguments_for_the_texas_abortion_case_the_three_female_justices.html	http://web.archive.org/web/20161111035440/http://www.slate.com/articles/news_and_politics/supreme_court_dispatches/2016/03/in_oral_arguments_for_the_texas_abortion_case_the_three_female_justices.html	1c2f5aed45ef59f78c7e78905f4e9d8d	Justice Samuel Alito is having none of it .	NoArgument	train
abortion	http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html	http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html	71362d6e263ed9f05336cf0461d8ae0b	My personal beliefs aside , the bible tells us plainly that we should not judge each other .	NoArgument	test
abortion	http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/	44ff16a49d9388ff51555b57ad0eebcc	But I am not the cause of his death ; I have merely chosen not to save him .	NoArgument	train
abortion	http://www.nytimes.com/2016/10/04/world/europe/poland-abortion-black-monday.html	http://web.archive.org/web/20161007020254/http://www.nytimes.com/2016/10/04/world/europe/poland-abortion-black-monday.html	c9c87c2ffcdee6d35ae91388beefd2e1	Tomasz Latos , a member of the governing Law and Justice party and head of the Health Committee in the Polish Sejm , or lower house of Parliament , said viewing the legislation as a threat to prenatal diagnostics was “ either an act of ill will or incompetence . ”	NoArgument	train
abortion	https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/	http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/	b80536f25941ab5fb1cd9d092b0445f9	In a political climate where ‘ compromise ’ is a dirty word , and one side refuses to even listen to opposing viewpoints , let alone negotiate , getting to a point where both sides meet in the center will be a long , uphill battle .	NoArgument	val
abortion	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	def55e2c030229a78c73f2318c04806e	Not only has the biological development not yet occurred to support pain experience , but the environment after birth , so necessary to the development of pain experience , is also yet to occur .	Argument_for	test
abortion	http://www.listland.com/top-10-arguments-in-support-of-abortion/	http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/	1eda0b267ebf32c247510ce77a9c95ee	A mother ’s right to decide to not put her child through that kind of suffering is her right and her right alone .	Argument_for	train
abortion	http://frc.org/arguments	http://web.archive.org/web/20161005113032/http://frc.org/arguments	f7405cdcf978d3d71e551256da4abb93	Half or more deaths were unreported for women who were undelivered at the time of death , experienced a fetal death or therapeutic abortion , died more than a week after delivery , or died as a result of a cardiovascular disorder " ( emphasis added ) .	NoArgument	test
