topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
death penalty	http://uspolitics.about.com/od/deathpenalty/i/death_penalty_2.htm	http://web.archive.org/web/20160417055325/http://uspolitics.about.com/od/deathpenalty/i/death_penalty_2.htm	5c010a72269bc865cdc4a86ca95a2b8a	Opponents of retribution theory believe in the sanctity of life and often argue that it is just as wrong for society to kill as it is for an individual to kill .	Argument_against	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	bcf76e21e8a149d8c700b759d0647b2c	In 1976 , the Supreme Court moved away from abolition , holding that " the punishment of death does not invariably violate the Constitution . "	Argument_for	train
death penalty	http://2016election.procon.org/view.answers.election.php?questionID=002042	http://web.archive.org/web/20161014173953/http://2016election.procon.org/view.answers.election.php?questionID=002042	ee9e8a396ac144d4e2261f4b7f9b3cc4	And I 've said , I would breathe a sigh of relief if either the Supreme Court or the states themselves began to eliminate the death penalty .	Argument_against	test
death penalty	http://www.prnewswire.com/news-releases/should-tsarnaev-get-the-death-penalty--proconorg-website-examines-pro-and-con-arguments-300067465.html	http://web.archive.org/web/20150911194826/http://www.prnewswire.com/news-releases/should-tsarnaev-get-the-death-penalty--proconorg-website-examines-pro-and-con-arguments-300067465.html	c53d63a814b0601340c35a4d3f3a7640	ProCon.org has more than 20,000,000 annual readers .	NoArgument	train
death penalty	http://deathpenalty.procon.org/	http://web.archive.org/web/20161107161931/http://deathpenalty.procon.org/	6b9d9553da8368f6f3e8ed17710d64f9	10/31/2016 - We thank the teachers in 8,369 schools that have used our free resources in your instructional materials .	NoArgument	test
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	f97ba55ea9a89754a1e59689c8762df7	Therefore , whatever legitimacy is to be found in punishment as just retribution can , in principle , be satisfied without recourse to executions .	Argument_against	train
death penalty	http://www.cnn.com/2015/07/17/opinions/holloway-death-penalty-future/	http://web.archive.org/web/20160504094623/http://www.cnn.com:80/2015/07/17/opinions/holloway-death-penalty-future	c003f8bfd5516d40e1316c9bbad7fd78	Numerous studies have found that death penalty criminal litigation costs taxpayers far more than prosecutions seeking life without parole .	Argument_against	val
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	003f52714d35b4f896244e95a309edd1	TW was in fact convicted of 1st degree murder and sentenced to life in prison .	NoArgument	train
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	15908c3a739a33eb303a93dce49120b7	I mean , that is confusing to him . "	NoArgument	train
death penalty	http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	http://web.archive.org/web/20160319233007if_/http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	2f60e146ca076161c250ba452ea7eeb2	Our capital punishment system is unreliable .	Argument_against	test
