topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
gun control	http://www.theatlantic.com/magazine/archive/2012/12/the-case-for-more-guns-and-more-gun-control/309161/	http://web.archive.org/web/20160512215933/http://www.theatlantic.com:80/magazine/archive/2012/12/the-case-for-more-guns-and-more-gun-control/309161/	7f5b3b58c98b7ee686eb8008f6d8d068	“ I had deep anger when I heard that , ” he told me .	NoArgument	train
gun control	http://concealedguns.procon.org/	http://web.archive.org/web/20161107160654/http://concealedguns.procon.org/	5875b612a01b700fdda1d2402efdda16	According to John R. Lott Jr. , PhD , " when states passed concealed carry laws during the 19 years we studied ( 1977 to 1995 ) , the number of multiple-victim public shootings declined by 84 % .	Argument_for	train
gun control	http://navajocodetalkers.org/9-principal-pros-and-cons-of-gun-control/	http://web.archive.org/web/20160506123220/http://navajocodetalkers.org:80/9-principal-pros-and-cons-of-gun-control/	4fb05a0f3420566ddb0c23b9099c39e9	Education Is The Answer More harsh gun control laws are not needed .	Argument_against	train
gun control	https://theprogressivecynic.com/debunking-right-wing-talking-points/refuting-gun-enthusiasts-anti-gun-control-arguments/	http://web.archive.org/web/20160427123147/https://theprogressivecynic.com/debunking-right-wing-talking-points/refuting-gun-enthusiasts-anti-gun-control-arguments/	c54901f7b8311a41d52c7554d8562772	Such a situation would lead to more people walking around with untreated , undiagnosed , and undisclosed illnesses ; these people would not be on the list and would be able to buy guns .	Argument_against	test
gun control	http://listverse.com/2013/12/12/10-arguments-against-gun-control/	http://web.archive.org/web/20160616054535/https://listverse.com/2013/12/12/10-arguments-against-gun-control/	e8163c6c903b9316ea45a1b5173e338b	There are still at least 3 million assault rifles out there .	NoArgument	train
gun control	http://www.theatlantic.com/magazine/archive/2012/12/the-case-for-more-guns-and-more-gun-control/309161/	http://web.archive.org/web/20160512215933/http://www.theatlantic.com:80/magazine/archive/2012/12/the-case-for-more-guns-and-more-gun-control/309161/	46343a6071bd1a8aa39c9eee3060b86a	Otterbein University , in Ohio , tells students to “ breathe to manage your fear ” and informs them , “ You may have to take the offensive if the shooter ( s ) enter your area .	NoArgument	train
gun control	http://www.theatlantic.com/magazine/archive/2012/12/the-case-for-more-guns-and-more-gun-control/309161/	http://web.archive.org/web/20160512215933/http://www.theatlantic.com:80/magazine/archive/2012/12/the-case-for-more-guns-and-more-gun-control/309161/	428e91e7760a6ee814604b951365dbad	But Mauser remained implacable .	NoArgument	train
gun control	http://2016election.procon.org/view.answers.election.php?questionID=002023	http://web.archive.org/web/20161015162943/http://2016election.procon.org/view.answers.election.php?questionID=002023	ddbe265986d78d6f5724c8b2c6901db4	I supported permitting the concealed carry of handguns in New Mexico .	NoArgument	train
gun control	http://www.latimes.com/opinion/op-ed/la-oe-defilippis-hughes-gun-myths-debunked-20160708-snap-story.html	http://web.archive.org/web/20161109003720/http://www.latimes.com/opinion/op-ed/la-oe-defilippis-hughes-gun-myths-debunked-20160708-snap-story.html	bba37d364523939b0e500ed7c609da57	Whatever Rubio believes , there ’s clear evidence that laws do influence criminal behavior .	Argument_for	val
gun control	https://www.amazon.com/War-Guns-Yourself-Against-Control/dp/1621575802	http://web.archive.org/web/20161028113301/https://www.amazon.com/War-Guns-Yourself-Against-Control/dp/1621575802	b173c18d5807eba4edd69269fdbba831	John paused with this quizzical look on his face before asking , “ Oh , how did you do your research ? ”	NoArgument	train
