topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
marijuana legalization	http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	http://web.archive.org/web/20161111222449/http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	0d45ad4592714699dec56562e329fe3d	She likens it to making alcohol or cigarettes ten times stronger .	Argument_against	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	b57be60b39222767fc485291060d866d	The state is enjoying economic growth and the lowest unemployment rate in years .	NoArgument	train
marijuana legalization	http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208	http://web.archive.org/web/20160720175546/http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208	1b9186af011f3658c1d755b84838dc2e	Eight people or groups turned in arguments for the " pro " side 's six pages in the publication , urging voters to approve the Regulation and Taxation of Marijuana Act ( RTMA ) .	Argument_for	val
marijuana legalization	http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	http://web.archive.org/web/20161013192633/http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	756f31f274bd88307c80020b7d94218a	Research in some of the 25 states where medical marijuana is legal has found a possible protective effect against opioid overdose deaths .	Argument_for	train
marijuana legalization	http://www.latimes.com/politics/la-pol-ca-patrick-kennedy-marijuana-legalization-opposition-20160801-snap-story.html	http://web.archive.org/web/20161017111307/http://www.latimes.com/politics/la-pol-ca-patrick-kennedy-marijuana-legalization-opposition-20160801-snap-story.html	102effee92e0d884530f0db5e26d69bd	If approved by voters Nov. 8 , the ballot measure would allow adults 21 and older to possess , transport and use up to an ounce of cannabis for recreational purposes and would also impose a 15 % tax on retail sales of the drug .	NoArgument	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	4dbb5d5119f2eae971519619603775a0	More likely , however , the feds would challenge the law in court , and the courts would have no choice but to strike it down .	NoArgument	train
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	866aa49986c2cb308ff44f34208c9626	29 % of those who had never used cannabis cited the illegality of the substance as their reason for never using the drug , while 19 % of those who had ceased use of cannabis cited its illegality as their reason .	NoArgument	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	608da3c1623c6da0b0c7c9391ad86b0c	Everyone should own a cannabis plant !	NoArgument	train
marijuana legalization	http://2016election.procon.org/view.answers.election.php?questionID=002059	http://web.archive.org/web/20160825001951/http://2016election.procon.org/view.answers.election.php?questionID=002059	9614a85d95ca0775d588469cb3fa1e3a	I do n't support their choice , but I do support their right to make that choice .	NoArgument	test
marijuana legalization	http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm	http://web.archive.org/web/20161119055237/http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm	6f1a105e2b5353adce9f82af725be3da	Yes , some who wish to see marijuana legalized use it for recreational purposes , but the other benefits can not be ignored .	Argument_for	train
