topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
minimum wage	https://www.dol.gov/featured/minimum-wage/mythbuster	http://web.archive.org/web/20161111223059/https://www.dol.gov/featured/minimum-wage/mythbuster	aaa1168f83f30ba1275f66f663561ac2	Not true : The typical minimum wage worker is not a high school student earning weekend pocket money .	Argument_against	test
minimum wage	http://www.salary.com/increasing-the-minimum-wage-pros-cons/	http://web.archive.org/web/20161012040607/http://www.salary.com/increasing-the-minimum-wage-pros-cons/	f6caf37d00296b58ee10ecf5d41b1423	And those employers , in turn , would be unable to hire as many people -- an undesirable result when unemployment continues to hover at about 8 percent .	Argument_against	train
minimum wage	http://kitchenette.jezebel.com/heres-how-every-argument-against-a-minimum-wage-hike-is-1728874042	http://web.archive.org/web/20160428104259/http://kitchenette.jezebel.com:80/heres-how-every-argument-against-a-minimum-wage-hike-is-1728874042	0d1252a37f329d50e329f387640cf50b	If the crabs were to work together , they could all easily escape .	NoArgument	val
minimum wage	http://www.economist.com/news/finance-and-economics/21567072-evidence-mounting-moderate-minimum-wages-can-do-more-good-harm	http://web.archive.org/web/20160413034733/http://www.economist.com:80/news/finance-and-economics/21567072-evidence-mounting-moderate-minimum-wages-can-do-more-good-harm	4287a30fbd21e670ba1ee407e5325ba8	Milton Friedman called them a form of discrimination against low-skilled workers .	Argument_for	train
minimum wage	http://www.newyorker.com/news/daily-comment/demonizing-minimum-wage	http://web.archive.org/web/20160716230221/http://www.newyorker.com/news/daily-comment/demonizing-minimum-wage	34cd6a97af40c22fab20dc97eafbd95d	It would be a move in the direction of “ the wages of decent living ” — a performance , one might say , of decency itself .	Argument_for	train
minimum wage	http://www.ncsl.org/research/labor-and-employment/maximum-divide-on-minimum-wage.aspx	http://web.archive.org/web/20160416020411/http://www.ncsl.org:80/research/labor-and-employment/maximum-divide-on-minimum-wage.aspx	e8103bd9a99bedff3d344c0a67f8adcd	That would be $ 10.56 in today ’s economy , well above the current $ 7.25 .	NoArgument	train
minimum wage	http://www.economist.com/blogs/economist-explains/2014/01/economist-explains-11	http://web.archive.org/web/20160506161651/http://www.economist.com:80/blogs/economist-explains/2014/01/economist-explains-11	ddf4098ce7a62c24d74fafc214bc3950	Why do economists often oppose minimum wage-rates ?	NoArgument	train
minimum wage	http://billmoyers.com/2014/03/07/all-of-the-arguments-against-raising-the-minimum-wage-have-fallen-apart/	http://web.archive.org/web/20161021154522/http://billmoyers.com/2014/03/07/all-of-the-arguments-against-raising-the-minimum-wage-have-fallen-apart/	b42193113975134a30fdba23574f7a6f	But those predisposed to defending the interests of corporate America – including retailers and fast-food restaurants – oppose any increase .	Argument_against	train
minimum wage	http://www.salon.com/2016/04/26/one_of_the_most_popular_arguments_against_raising_the_minimum_wage_is_getting_demolished/	http://web.archive.org/web/20160510162524/http://www.salon.com:80/2016/04/26/one_of_the_most_popular_arguments_against_raising_the_minimum_wage_is_getting_demolished/	35be79e589c115b4160e7e1faaadc98a	For example , a gas station employs far fewer minimum-wage service personnel than a restaurant , and will be relatively unaffected by paying them another dollar per hour .	Argument_for	test
minimum wage	http://minimum-wage.procon.org/	http://web.archive.org/web/20160505110554/http://minimum-wage.procon.org:80/	05c26360f05bc9568d7e838ed80a5ee7	Increasing the minimum wage reduces the likelihood of upward mobility .	Argument_against	test
minimum wage	http://minimum-wage.procon.org/	http://web.archive.org/web/20160505110554/http://minimum-wage.procon.org:80/	10b1662766018a69a693383511beef80	Mark J. Perry , PhD , of the American Enterprise Institute states that " the attraction to higher wages from minimum wage legislation reduces high school completion rates for some students with limited skills , who are then disadvantaged with lower wages and career opportunities over the long-run if they never finish high school . "	Argument_against	test
minimum wage	https://en.wikipedia.org/wiki/Minimum_wage	http://web.archive.org/web/20161026001842/https://en.wikipedia.org/wiki/Minimum_wage	b01bce9ad2e39e79ea307e0baf1fe1db	We will start by assuming that the supply and demand curves for labor will not change as a result of raising the minimum wage .	Argument_for	train
minimum wage	http://bizbeatblog.dallasnews.com/2016/04/ca-and-ny-minimum-wages-may-bolster-texas-argument-economist-says.html/	http://web.archive.org/web/20160504181948/http://bizbeatblog.dallasnews.com:80/2016/04/ca-and-ny-minimum-wages-may-bolster-texas-argument-economist-says.html/	76105d9c2bf3959380cea5a341d4f09a	It ’s unlikely to be addressed again until 2017 .	NoArgument	val
minimum wage	http://occupytheory.org/list-of-pros-and-cons-of-a-minimum-wage-increase/	http://web.archive.org/web/20160415184740/http://occupytheory.org:80/list-of-pros-and-cons-of-a-minimum-wage-increase/	745d1e692dd28b572cb94b8fd85d7448	The reason for this is that they may be raising prices to cover the cost of paying employees .	Argument_against	train
minimum wage	http://justcapital.com/just-matters-blog/2016/4/20/3-reasons-for-against-minimum-wage	http://web.archive.org/web/20160822215624/http://justcapital.com/just-matters-blog/2016/4/20/3-reasons-for-against-minimum-wage	1a3b4208047d1636da41f7ea5fed9243	There ’s no clear evidence that the raise will lead to unemployment .	Argument_for	train
