topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
school uniforms	http://education.newarchaeology.com/against_school_uniforms.php	http://web.archive.org/web/20160817231333/http://education.newarchaeology.com:80/against_school_uniforms.php	b095f443232cf1a6962c9ac6bf65d264	Because children are constantly growing , there is a captive market for new school clothes and manufacturers take advantage .	Argument_against	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-mandatory/	http://web.archive.org/web/20160629081940/http://www.listland.com:80/top-10-reasons-school-uniforms-mandatory/	45964f3da335c382efdf2ced6aad7a61	Critics , mostly students believe that wearing a school uniform is boring .	Argument_against	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	f2dafb6e4c92b456c6781f27b38022f6	But I think this , I think that local communities and states should make the decision and I feel very strongly about that .	NoArgument	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-should-be-banned/	http://web.archive.org/web/20160710151116/http://www.listland.com:80/top-10-reasons-school-uniforms-should-be-banned/	85555c58a702d2b30497b54947833cd2	People who are for uniforms say that it promotes social conformity , so the less-to-do do n’t have to be pressured to keep up with their well-off contemporaries .	Argument_for	train
school uniforms	https://en.wikipedia.org/wiki/School_uniform	http://web.archive.org/web/20161209024202/https://en.wikipedia.org/wiki/School_uniform	092006216db0a58ee854449b363d986d	^ a b Reed , Joshua B. " Effects of a School Uniform Policy on an Urban School District . "	NoArgument	val
school uniforms	http://vaccines.procon.org/view.answers.php?questionID=001606	http://web.archive.org/web/20160621003617/http://vaccines.procon.org:80/view.answers.php?questionID=001606	e85defa673d93dc88625fb20a50a3dc3	There is also a growing trend of parents failing to follow full vaccine schedules and schools and daycare centers failing to track those families that have pledged to get the required vaccines after the year begins .	NoArgument	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	44ffc1a6eb76ba6a55f37abdc4bfe002	" Source : Jenna Johnson , " Donald Trump : ' I Will Get Rid of Gun-Free Zones on Schools , ' " washingtonpost.com , Jan. 8 , 2016 Back to present position 10 Should More Gun Control Laws Be Enacted ?	NoArgument	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	6d2d81a66f027fb12c3e30d2fa0a08e6	But I ’m not advocating guns in classrooms .	NoArgument	train
school uniforms	http://school-uniforms.procon.org/	http://web.archive.org/web/20170130080923/http://school-uniforms.procon.org/	5bdd54775ba01266825d1593d6500ec2	Wearing one 's own choice of shirt or pants is not the " pure speech " protected by the Constitution .	Argument_for	test
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	0146abd840b1faabeb41a34ab1b7f557	Since the BCS conferences automatically qualify for BCS bowl games , they receive a disproportionate amount of the annual bowl revenue .	NoArgument	train
school uniforms	https://www.aclunc.org/our-work/know-your-rights/school-dress-codes-and-uniforms	http://web.archive.org/web/20160408220718/https://www.aclunc.org/our-work/know-your-rights/school-dress-codes-and-uniforms	009f072b5cf785e617554a6bdbeb6a91	What counts as a “ substantial disruption ” to school or school activities ?	NoArgument	train
school uniforms	http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Pros-Of-School-Uniforms-Why-Students-Should-Wear-School-Uniforms.htm	http://web.archive.org/web/20161112153618/http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Pros-Of-School-Uniforms-Why-Students-Should-Wear-School-Uniforms.htm	e20ba8fff1c15bc066bbdb01b59fa3c9	School uniforms are designed to stand up to everyday wear and repeated washing so most parents find that they can get away with buying a few sets .	Argument_for	train
school uniforms	http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Arguments-Against-School-Uniforms.htm	http://web.archive.org/web/20161112202229/http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Arguments-Against-School-Uniforms.htm	0389c0ed8103ff6fe9e70ca0b1dccf6c	Many girls , for example , do not like to wear skirts or dresses , which most girls ' uniforms require .	Argument_against	train
school uniforms	http://school-uniforms.procon.org/	http://web.archive.org/web/20170130080923/http://school-uniforms.procon.org/	c8492ddb818113193c90af63720b8926	The oft-quoted improvements to school safety and student behavior in the Long Beach ( CA ) Unified School District from 1993-1995 may not have resulted from the introduction of school uniforms .	Argument_against	test
school uniforms	http://www.optionality.net/mag/oct98a.html	http://web.archive.org/web/20160711225016/http://www.optionality.net:80/mag/oct98a.html	aa14261ba8e45d59f941fd3640df2183	Similarly , students would not be able to deal with people who did n't wear uniforms .	NoArgument	train
school uniforms	http://debatepedia.idebate.org/en/index.php/Debate:_School_uniform	http://web.archive.org/web/20160709035437/http://debatepedia.idebate.org:80/en/index.php/Debate:_School_uniform	0aa1747f90651267cb310f6291dd12ce	Children in uncomfortable outfits are unlikely to learn much .	Argument_for	train
school uniforms	http://www.unr.edu/nevada-today/news/2013/school-uniform-study	http://web.archive.org/web/20170208002134/http://www.unr.edu/nevada-today/news/2013/school-uniform-study/	aedfad5638173d85b8bb376e21a1c06a	While most students surveyed did not like wearing uniforms , 30 percent of the students believed that wearing uniforms might reduce discipline issues and reported various benefits that may seem worthwhile in enhancing students ' quality of their school experience .	NoArgument	train
school uniforms	http://www.debate.org/opinions/should-kids-have-to-wear-school-uniforms	http://web.archive.org/web/20160719015848/http://www.debate.org:80/opinions/should-kids-have-to-wear-school-uniforms	58f01ee9798ad33f0f5c4beae4c09b5e	And by ugly , I mean wrong color scheme .	Argument_against	train
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	e01a79fc3bb2cc0849bd11ff853d693b	Bill Hancock said that " A lot of frustration with the BCS is because people do n't understand it ... The fact is a playoff would be as contentious or more contentious than what we have now . "	NoArgument	train
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	2bf0c01d5d479f3c7c09e400803c2aea	The BCS system makes every regular season game crucial for the teams in contention to finish in the top two .	NoArgument	train
school uniforms	http://school-uniforms.procon.org/	http://web.archive.org/web/20170130080923/http://school-uniforms.procon.org/	9b68c42bf3c662e7107725f54aef4498	Focusing on uniforms takes attention away from finding genuine solutions to problems in education .	Argument_against	test
school uniforms	http://school-uniforms.procon.org/view.answers.php?questionID=001903	http://web.archive.org/web/20160716122905/http://school-uniforms.procon.org:80/view.answers.php?questionID=001903	b1fa0c1708e4bc17e43c4820fd115dd2	It brings so many benefits in terms of moral , discipline and results because it is a leveller of children of all backgrounds .	Argument_for	test
