topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
death penalty	http://uspolitics.about.com/od/deathpenalty/i/death_penalty_2.htm	http://web.archive.org/web/20160417055325/http://uspolitics.about.com/od/deathpenalty/i/death_penalty_2.htm	5c010a72269bc865cdc4a86ca95a2b8a	-	Argument_against	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	bcf76e21e8a149d8c700b759d0647b2c	-	Argument_for	train
death penalty	http://2016election.procon.org/view.answers.election.php?questionID=002042	http://web.archive.org/web/20161014173953/http://2016election.procon.org/view.answers.election.php?questionID=002042	ee9e8a396ac144d4e2261f4b7f9b3cc4	-	Argument_against	test
death penalty	http://www.prnewswire.com/news-releases/should-tsarnaev-get-the-death-penalty--proconorg-website-examines-pro-and-con-arguments-300067465.html	http://web.archive.org/web/20150911194826/http://www.prnewswire.com/news-releases/should-tsarnaev-get-the-death-penalty--proconorg-website-examines-pro-and-con-arguments-300067465.html	c53d63a814b0601340c35a4d3f3a7640	-	NoArgument	train
death penalty	http://deathpenalty.procon.org/	http://web.archive.org/web/20161107161931/http://deathpenalty.procon.org/	6b9d9553da8368f6f3e8ed17710d64f9	-	NoArgument	test
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	f97ba55ea9a89754a1e59689c8762df7	-	Argument_against	train
death penalty	http://www.cnn.com/2015/07/17/opinions/holloway-death-penalty-future/	http://web.archive.org/web/20160504094623/http://www.cnn.com:80/2015/07/17/opinions/holloway-death-penalty-future	c003f8bfd5516d40e1316c9bbad7fd78	-	Argument_against	val
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	003f52714d35b4f896244e95a309edd1	-	NoArgument	train
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	15908c3a739a33eb303a93dce49120b7	-	NoArgument	train
death penalty	http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	http://web.archive.org/web/20160319233007if_/http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	2f60e146ca076161c250ba452ea7eeb2	-	Argument_against	test
death penalty	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	d2c39485d7854efc07efd93df4aa8914	-	NoArgument	train
death penalty	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	2fb659d10d2e266d8f9c29795ba093a9	-	NoArgument	train
death penalty	http://www.deathpenalty.org/article.php?id=56	http://web.archive.org/web/20160430173645/http://deathpenalty.org:80/article.php?id=56	cfa4c2655246a6194d8127fc85daecac	-	NoArgument	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	c6a1899ded5a2a3bf94e6fda93405fc2	-	NoArgument	train
death penalty	http://abcnews.go.com/US/scotus-hears-arguments-death-penalty-case/story?id=42593009	http://web.archive.org/web/20161105162329/http://abcnews.go.com/US/scotus-hears-arguments-death-penalty-case/story?id=42593009	43ba048e1238a69ed89f313c8bcce72a	-	Argument_against	train
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	9b3671c80e44ea81bcd683a32a683b03	-	Argument_against	train
death penalty	http://www.capitalpunishmentuk.org/thoughts.html	http://web.archive.org/web/20160423195505/http://www.capitalpunishmentuk.org:80/thoughts.html	c98a5645efdfeeb0dd1416fb59167ff8	-	Argument_for	train
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	5c508062caf7fe59e89c5dced9e62a14	-	Argument_against	train
death penalty	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	db4334f954f40ff8a99c9556c0b5726f	-	NoArgument	train
death penalty	http://deathpenaltyinfo.org/national-polls-and-studies	http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies	b0077f0bc1b9d2086f4398cbe957c928	-	NoArgument	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	8d6c74b18dfb6a9a3b7887ed78353f70	-	Argument_against	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	a0bb1d487d6f32d924a94ac92bc13791	-	Argument_against	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	8ec791997b7c8116a15368dd2f3ba6f7	-	Argument_against	val
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	f24206b77e15534f34d0cca2ea34eea6	-	NoArgument	train
death penalty	http://news.wjct.org/post/advocates-debate-pros-cons-floridas-death-penalty	http://web.archive.org/web/20160624211032/http://news.wjct.org/post/advocates-debate-pros-cons-floridas-death-penalty	cdbae2e0b2335ee6bed4c11296ad1ec2	-	Argument_against	train
death penalty	http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	http://web.archive.org/web/20160319233007if_/http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	3d1cf52b9b5607715b5345b3c282b74e	-	Argument_for	train
death penalty	http://usliberals.about.com/od/deathpenalty/i/DeathPenalty_2.htm	http://web.archive.org/web/20160801180757/http://usliberals.about.com/od/deathpenalty/i/DeathPenalty_2.htm	5cd71fefd02126ea0fa76906c9b3569c	-	Argument_against	train
death penalty	http://listverse.com/2013/06/01/5-arguments-for-and-against-the-death-penalty/	http://web.archive.org/web/20160807212122/http://listverse.com/2013/06/01/5-arguments-for-and-against-the-death-penalty/	578386c335de0a5f70ffcd0418998ffd	-	NoArgument	test
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	cfeda19d012c844829ef61e3dcfc5360	-	NoArgument	train
death penalty	http://www.pbs.org/wgbh/pages/frontline/angel/procon/greenbergarticle.html	http://web.archive.org/web/20160506190902/http://www.pbs.org:80/wgbh/pages/frontline/angel/procon/greenbergarticle.html	41b92c99c3eca6afe504f963a4c0640a	-	NoArgument	train
death penalty	http://www.balancedpolitics.org/death_penalty.htm	http://web.archive.org/web/20160510041304/http://www.balancedpolitics.org:80/death_penalty.htm	87f75303b8e81ace60127dad13ea9c87	-	Argument_against	test
death penalty	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	d0a31ca9e93478a9d603d22d200462b2	-	NoArgument	train
death penalty	http://www.huffingtonpost.com/radley-balko/death-penalty-support-america_b_984931.html	http://web.archive.org/web/20160324230946/http://www.huffingtonpost.com/radley-balko/death-penalty-support-america_b_984931.html	cda6ee316823d5a5c9ff232bef42a000	-	Argument_against	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	628e265221913172f4559c7f77c5296d	-	NoArgument	test
death penalty	http://www.prnewswire.com/news-releases/should-tsarnaev-get-the-death-penalty--proconorg-website-examines-pro-and-con-arguments-300067465.html	http://web.archive.org/web/20150911194826/http://www.prnewswire.com/news-releases/should-tsarnaev-get-the-death-penalty--proconorg-website-examines-pro-and-con-arguments-300067465.html	9c4a2d17996841b5923554d7bcec8027	-	NoArgument	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	2db01432107827cc3ed4000f94e603fe	-	Argument_against	train
death penalty	http://www.pbs.org/wgbh/pages/frontline/angel/procon/greenbergarticle.html	http://web.archive.org/web/20160506190902/http://www.pbs.org:80/wgbh/pages/frontline/angel/procon/greenbergarticle.html	84fbfcc10fec0a25a997967df4bf8891	-	NoArgument	train
death penalty	http://news.wjct.org/post/advocates-debate-pros-cons-floridas-death-penalty	http://web.archive.org/web/20160624211032/http://news.wjct.org/post/advocates-debate-pros-cons-floridas-death-penalty	fefbee94c8f6a436fa1244c1caf3933e	-	NoArgument	train
death penalty	https://www.biblebelievers.com/jmelton/punish.html	http://web.archive.org/web/20161015100003/http://biblebelievers.com/jmelton/punish.html	81bfbff0f29d4beed17e3ea11b5aaecb	-	NoArgument	train
death penalty	https://www.amnesty.org.au/5-reasons-some-people-think-the-world-needs-the-death-penalty/	http://web.archive.org/web/20161017012626/https://www.amnesty.org.au/5-reasons-some-people-think-the-world-needs-the-death-penalty/	64a2b58a0620ef95a62299b0560ff4e5	-	Argument_against	train
death penalty	http://www.capitalpunishmentuk.org/thoughts.html	http://web.archive.org/web/20160423195505/http://www.capitalpunishmentuk.org:80/thoughts.html	fe22320906737611a4533e8c3f3ab29e	-	NoArgument	train
death penalty	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	2e2b019af0401b69f9c5cc2d29facf7c	-	NoArgument	train
death penalty	http://www.prodeathpenalty.com/ornellaspaper.htm	http://web.archive.org/web/20160509202800/http://www.prodeathpenalty.com:80/ornellaspaper.htm	ac929bce8f511d35633e697ec3b664d2	-	NoArgument	test
death penalty	http://www.scotusblog.com/2016/09/argument-preview-justices-to-consider-role-of-racial-bias-in-death-penalty-case/	http://web.archive.org/web/20160929144908/http://www.scotusblog.com/2016/09/argument-preview-justices-to-consider-role-of-racial-bias-in-death-penalty-case/	0b3b2d6cc200fbfae07778a23971b4a2	-	NoArgument	train
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	6e0fbf86e4fe5816f055d1c86a8ece2f	-	Argument_against	train
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	96f246f46d94744119819100639eeae4	-	NoArgument	train
death penalty	http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	http://web.archive.org/web/20160319233007if_/http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF	5eb7a1ce67e2fe64d3b96824224f580b	-	NoArgument	test
death penalty	http://www.pbs.org/wgbh/pages/frontline/angel/procon/greenbergarticle.html	http://web.archive.org/web/20160506190902/http://www.pbs.org:80/wgbh/pages/frontline/angel/procon/greenbergarticle.html	746dcc3f20844870ccd819ace0887d07	-	Argument_against	train
death penalty	http://www.balancedpolitics.org/death_penalty.htm	http://web.archive.org/web/20160510041304/http://www.balancedpolitics.org:80/death_penalty.htm	06381690615b5161a680539bb832b04f	-	Argument_against	test
death penalty	http://studentabolition.org/	http://web.archive.org/web/20161007055233/http://studentabolition.org/	5719763ffbc9c507d23904183cf5f793	-	Argument_against	train
death penalty	http://www.nytimes.com/2016/08/03/us/dylann-roof-death-penalty.html	http://web.archive.org/web/20160816171147/http://www.nytimes.com/2016/08/03/us/dylann-roof-death-penalty.html	4b9de4ab0a974fe57177a7a8b402749a	-	NoArgument	val
death penalty	http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty	http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty	db84b03d58c9e9fe617520633541f6b7	-	NoArgument	train
death penalty	https://www.aclu.org/other/case-against-death-penalty	http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty	8efc139135cb151d9d4b9444401a222a	-	Argument_against	train
death penalty	http://deathpenaltyinfo.org/national-polls-and-studies	http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies	9b36ebdbd973a55a91877f58f7e64da6	-	NoArgument	train
death penalty	http://abortion.procon.org/	http://web.archive.org/web/20161107160640/http://abortion.procon.org/	07ce427025e92b1e95c308ac3cf42b17	-	NoArgument	train
death penalty	http://deathpenaltyinfo.org/national-polls-and-studies	http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies	bdf08272e85958dc4c86983d218e8873	-	NoArgument	train
