topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
marijuana legalization	http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	http://web.archive.org/web/20161111222449/http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	0d45ad4592714699dec56562e329fe3d	-	Argument_against	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	b57be60b39222767fc485291060d866d	-	NoArgument	train
marijuana legalization	http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208	http://web.archive.org/web/20160720175546/http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208	1b9186af011f3658c1d755b84838dc2e	-	Argument_for	val
marijuana legalization	http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	http://web.archive.org/web/20161013192633/http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	756f31f274bd88307c80020b7d94218a	-	Argument_for	train
marijuana legalization	http://www.latimes.com/politics/la-pol-ca-patrick-kennedy-marijuana-legalization-opposition-20160801-snap-story.html	http://web.archive.org/web/20161017111307/http://www.latimes.com/politics/la-pol-ca-patrick-kennedy-marijuana-legalization-opposition-20160801-snap-story.html	102effee92e0d884530f0db5e26d69bd	-	NoArgument	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	4dbb5d5119f2eae971519619603775a0	-	NoArgument	train
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	866aa49986c2cb308ff44f34208c9626	-	NoArgument	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	608da3c1623c6da0b0c7c9391ad86b0c	-	NoArgument	train
marijuana legalization	http://2016election.procon.org/view.answers.election.php?questionID=002059	http://web.archive.org/web/20160825001951/http://2016election.procon.org/view.answers.election.php?questionID=002059	9614a85d95ca0775d588469cb3fa1e3a	-	NoArgument	test
marijuana legalization	http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm	http://web.archive.org/web/20161119055237/http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm	6f1a105e2b5353adce9f82af725be3da	-	Argument_for	train
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	bc13e1d42e06bee529127dc8d3016ca0	-	NoArgument	train
marijuana legalization	http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	http://web.archive.org/web/20161111222449/http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	e2b67ef397f72ce17d21f9bd74f4c83a	-	Argument_for	train
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	414edae57f3baa11ff4838c332a1ef60	-	Argument_against	train
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	0f74216527ac0664c38209cd7a662089	-	Argument_for	train
marijuana legalization	http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208	http://web.archive.org/web/20160720175546/http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208	ab2445916da7cfa2d49ec174928d99b9	-	Argument_for	train
marijuana legalization	http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	http://web.archive.org/web/20161013192633/http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	5f70e1bb429cb444bf69e0de6daab0b7	-	Argument_for	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	fbe52e36e28060fa7c1708efbfb5311d	-	NoArgument	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	eb5b020a30aa7dd86b05e5e497e5b073	-	NoArgument	train
marijuana legalization	https://calmusa.org/	http://web.archive.org/web/20160514062111/http://calmusa.org:80/	b8ec9594704cfdc67751010d67f33573	-	NoArgument	test
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	0d5a5a7b8bcaffb373de9d7cc7882f02	-	Argument_for	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	4873cc4ff9caded4548a57c55a79c806	-	NoArgument	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	a0f1910b618744be72b52fd2f7ad1bfb	-	NoArgument	train
marijuana legalization	http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html	http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html	3bf9861ffc0e06d83516f6a13823f776	-	Argument_for	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	72f2a20d6d4b3a0b06f7238109b8260a	-	NoArgument	train
marijuana legalization	http://townhall.com/columnists/johnhawkins/2014/01/21/5-reasons-marijuana-should-remain-illegal-n1782086	http://web.archive.org/web/20160517204705/http://townhall.com:80/columnists/johnhawkins/2014/01/21/5-reasons-marijuana-should-remain-illegal-n1782086	3fabdef0f11c242995b401d86088fa0a	-	Argument_against	train
marijuana legalization	http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html	http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html	e65c134df6e60c90508e72dd9b61c239	-	NoArgument	train
marijuana legalization	https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	http://web.archive.org/web/20161009012759/https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	9fe1253b1b1caaf42db1e2235d4e253d	-	NoArgument	test
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	4b65f943d94db54c98ddd6b6e25f79d2	-	Argument_for	train
marijuana legalization	http://www.marketwatch.com/story/warning-pot-pushers-are-hiding-an-inconvenient-truth-from-voters-2016-11-05	http://web.archive.org/web/20161130041150/http://www.marketwatch.com/story/warning-pot-pushers-are-hiding-an-inconvenient-truth-from-voters-2016-11-05	b5aea122e1ba524d58747aaf5906108f	-	Argument_against	train
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	7ea2424e79b68497dde9b43a467b5438	-	Argument_against	train
marijuana legalization	http://www.washingtontimes.com/news/2016/aug/1/a-case-against-legalizing-marijuana/	http://web.archive.org/web/20160905155600/http://www.washingtontimes.com/news/2016/aug/1/a-case-against-legalizing-marijuana/	c04b35de5cbc7e7181113eb89e973dbb	-	Argument_against	test
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	47c77c641e5960bdc74b2dea0de6e2c3	-	NoArgument	val
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	6767e08145088abe9dc5cd0e8ce8862d	-	NoArgument	train
marijuana legalization	http://www.denverpost.com/2015/12/26/after-two-years-debate-remains-over-marijuana-legalizations-impacts/	http://web.archive.org/web/20160821183623/http://www.denverpost.com/2015/12/26/after-two-years-debate-remains-over-marijuana-legalizations-impacts/	a28d5afbba5483dafab2493deb1d76e4	-	Argument_for	train
marijuana legalization	http://nyln.org/19-primary-pros-and-cons-of-legalizing-weed	http://web.archive.org/web/20160520233005/http://nyln.org:80/19-primary-pros-and-cons-of-legalizing-weed	5392de19a1518b5e7f99e942ea7f7d7d	-	Argument_for	test
marijuana legalization	http://www.drugrehab.us/news/pros-cons-legalizing-recreational-marijuana/	http://web.archive.org/web/20160818235003/http://www.drugrehab.us/news/pros-cons-legalizing-recreational-marijuana/	49b8bb2cf2fb5ae16643984a1b75e4e2	-	NoArgument	test
marijuana legalization	https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	http://web.archive.org/web/20161125162328/https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	a8715549588a0174a5878390e813e520	-	Argument_for	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	c68379154d6eeb2ea9b3b654024a5e1d	-	NoArgument	train
marijuana legalization	http://www.wbur.org/morningedition/2016/10/20/marijuana-ballot-question-money	http://web.archive.org/web/20161021120548/http://www.wbur.org/morningedition/2016/10/20/marijuana-ballot-question-money	ed867d6acfcbe0f3a87b558cede02bc4	-	NoArgument	train
marijuana legalization	http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm	http://web.archive.org/web/20161119055237/http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm	8cccce23acfdd8fb5314b86d11c17d5c	-	NoArgument	train
marijuana legalization	http://www.thecannabist.co/2016/09/19/nevada-marijuana-against-legalization/63389/	http://web.archive.org/web/20160920130033/http://www.thecannabist.co/2016/09/19/nevada-marijuana-against-legalization/63389/	53ec9ab0e0c13752fa4ebda529280fd5	-	Argument_against	train
marijuana legalization	http://www.wbur.org/morningedition/2016/10/20/marijuana-ballot-question-money	http://web.archive.org/web/20161021120548/http://www.wbur.org/morningedition/2016/10/20/marijuana-ballot-question-money	3af68ee988311ba47b40a3aced6c6bb4	-	NoArgument	train
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	0384a84233a866aae44797be9ca68e19	-	Argument_for	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	c707144133928d89afd041b84b73abcb	-	NoArgument	train
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	2f1f88f66d717b063e0596a5795ee72c	-	NoArgument	val
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	38fc8c52b5dae2aa8f14e6d095dbb12e	-	Argument_against	train
marijuana legalization	https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	http://web.archive.org/web/20161125162328/https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	5365929bde6d52c805456786b95c1f26	-	NoArgument	train
marijuana legalization	https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	http://web.archive.org/web/20161125162328/https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	8aa86492efdd34460282496cf40647f9	-	NoArgument	train
marijuana legalization	http://www.heraldnews.com/news/20161016/pros-and-cons-of-legalizing-marijuana-in-mass	http://web.archive.org/web/20161018105105/http://www.heraldnews.com/news/20161016/pros-and-cons-of-legalizing-marijuana-in-mass	2a92c10b3a9b96c84d1f12bb13309b56	-	Argument_for	val
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	5e90aa3b49a1edaf1384e93f77a36d2f	-	Argument_against	train
marijuana legalization	https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	http://web.archive.org/web/20161125162328/https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	c697d27da2f4013790da3b0ec1a4a20a	-	NoArgument	train
marijuana legalization	https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	http://web.archive.org/web/20161009012759/https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	334380e89d581cdc2e97c39dd07f324a	-	NoArgument	test
marijuana legalization	http://www.people-press.org/2015/04/14/in-debate-over-legalizing-marijuana-disagreement-over-drugs-dangers/	http://web.archive.org/web/20161206061941/http://www.people-press.org/2015/04/14/in-debate-over-legalizing-marijuana-disagreement-over-drugs-dangers/	cc1cc70d6f9c1af45ce82120d938f751	-	NoArgument	test
marijuana legalization	http://www.huffingtonpost.com/dr-howard-samuels/legalizing-marijuana_b_4144180.html	http://web.archive.org/web/20160814011111/http://www.huffingtonpost.com/dr-howard-samuels/legalizing-marijuana_b_4144180.html	8fdd9b710447cc8a02a2e3de2bca856d	-	Argument_against	train
marijuana legalization	http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no	080284a90007bebe7b91fe88a063f6d4	-	Argument_for	val
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	8c7152136bcdf51ad802193b5aedf870	-	Argument_for	train
marijuana legalization	http://www.ibtimes.com/pros-cons-drug-legalization-us-246712	http://web.archive.org/web/20161005205801/http://www.ibtimes.com/pros-cons-drug-legalization-us-246712	9aa48d1f1371b86c19595fc7816d83d3	-	Argument_against	train
marijuana legalization	http://nyln.org/19-primary-pros-and-cons-of-legalizing-weed	http://web.archive.org/web/20160520233005/http://nyln.org:80/19-primary-pros-and-cons-of-legalizing-weed	a6b7f948b3ab29e24b9371bf69408ca9	-	Argument_for	test
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	06c56724332db90bcfee31f6e5d335ef	-	Argument_for	train
marijuana legalization	http://www.webmd.com/a-to-z-guides/video/recreational-marijuana	http://web.archive.org/web/20160912124928/http://www.webmd.com/a-to-z-guides/video/recreational-marijuana	48380db85932e46f2a34e9850b89c308	-	NoArgument	train
marijuana legalization	http://www.balancedpolitics.org/marijuana_legalization.htm	http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm	404b0bd9617fb2e7483ad24a01658be5	-	Argument_against	val
marijuana legalization	http://www.teenink.com/hot_topics/what_matters/article/311685/Against-Legalizing-Marijuana/	http://web.archive.org/web/20160518041046/http://www.teenink.com:80/hot_topics/what_matters/article/311685/Against-Legalizing-Marijuana	434b45084d0908247981c6b2e03e3f8b	-	Argument_against	train
marijuana legalization	https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	http://web.archive.org/web/20161125162328/https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	5bf7284818d10095cbefc703bc6974ef	-	NoArgument	train
marijuana legalization	http://learn.genetics.utah.edu/content/addiction/cannabis/	http://web.archive.org/web/20160518062440/http://learn.genetics.utah.edu:80/content/addiction/cannabis	54e7b682a7982c584bacce3045141cf4	-	Argument_against	train
marijuana legalization	http://medicalmarijuana.procon.org/	http://web.archive.org/web/20161208005909/http://medicalmarijuana.procon.org/	933d365625e2110d0a4d91fbdb586bba	-	NoArgument	test
marijuana legalization	http://www.teenink.com/hot_topics/what_matters/article/311685/Against-Legalizing-Marijuana/	http://web.archive.org/web/20160518041046/http://www.teenink.com:80/hot_topics/what_matters/article/311685/Against-Legalizing-Marijuana	4fb2a16c4dc123214c9be8c5d0683730	-	Argument_for	train
marijuana legalization	http://townhall.com/columnists/johnhawkins/2014/01/21/5-reasons-marijuana-should-remain-illegal-n1782086	http://web.archive.org/web/20160517204705/http://townhall.com:80/columnists/johnhawkins/2014/01/21/5-reasons-marijuana-should-remain-illegal-n1782086	30551f92faef4834cea9b131bab8673a	-	NoArgument	test
marijuana legalization	https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	http://web.archive.org/web/20161125162328/https://www.bostonglobe.com/metro/2016/10/19/laughable-arguments-against-legalizing-marijuana/QyOXmWg0lzZu4hyFuOSaUM/story.html	eb4312458931cc9d73e41a15a36d4854	-	NoArgument	val
marijuana legalization	http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	http://web.archive.org/web/20161013192633/http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	f05e72c872762dfd535dc959e6eb9475	-	Argument_for	train
marijuana legalization	http://www.ibtimes.com/pros-cons-drug-legalization-us-246712	http://web.archive.org/web/20161005205801/http://www.ibtimes.com/pros-cons-drug-legalization-us-246712	48ab3c805691411fcac5661d16f226ac	-	Argument_for	train
marijuana legalization	http://www.teenink.com/hot_topics/what_matters/article/311685/Against-Legalizing-Marijuana/	http://web.archive.org/web/20160518041046/http://www.teenink.com:80/hot_topics/what_matters/article/311685/Against-Legalizing-Marijuana	1f3250b72101da342abbf2c95f11da3d	-	NoArgument	train
marijuana legalization	https://news.vice.com/story/heres-who-bankrolls-the-fight-against-marijuana-legalization	http://web.archive.org/web/20161027114055/https://news.vice.com/story/heres-who-bankrolls-the-fight-against-marijuana-legalization	bddf662673a6b472d3aca8df6f35285a	-	NoArgument	train
marijuana legalization	http://www.washingtontimes.com/news/2016/aug/1/a-case-against-legalizing-marijuana/	http://web.archive.org/web/20160905155600/http://www.washingtontimes.com/news/2016/aug/1/a-case-against-legalizing-marijuana/	53c2bc8f995cf41f9dd279159091fd5b	-	NoArgument	test
marijuana legalization	http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html	http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html	7f5510bf255fe8127ad533d5f1d6ba79	-	NoArgument	train
marijuana legalization	http://www.newhealthadvisor.com/Pros-and-Cons-of-Weed.html	http://web.archive.org/web/20160511181255/http://www.newhealthadvisor.com:80/Pros-and-Cons-of-Weed.html	ec102f56f7df926e2dcb92199378b47a	-	Argument_against	train
marijuana legalization	http://www.debate.org/opinions/should-marijuana-be-legalized	http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized	5fb6580c4464a1643699c3da1008ff71	-	NoArgument	train
marijuana legalization	http://nyln.org/19-primary-pros-and-cons-of-legalizing-weed	http://web.archive.org/web/20160520233005/http://nyln.org:80/19-primary-pros-and-cons-of-legalizing-weed	62acfcb5241b674be01d411bec32d0e1	-	Argument_for	test
marijuana legalization	https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	http://web.archive.org/web/20161009012759/https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	66f491308a8b6c5a08f064a703be1209	-	Argument_against	test
marijuana legalization	http://townhall.com/columnists/johnhawkins/2014/01/21/5-reasons-marijuana-should-remain-illegal-n1782086	http://web.archive.org/web/20160517204705/http://townhall.com:80/columnists/johnhawkins/2014/01/21/5-reasons-marijuana-should-remain-illegal-n1782086	9b4f9c74abf575ab781aeba2e43c3a99	-	Argument_against	test
marijuana legalization	http://www.denverpost.com/2015/12/26/after-two-years-debate-remains-over-marijuana-legalizations-impacts/	http://web.archive.org/web/20160821183623/http://www.denverpost.com/2015/12/26/after-two-years-debate-remains-over-marijuana-legalizations-impacts/	73eb5ef53e8a680b8598ee36d8b3720c	-	NoArgument	train
marijuana legalization	https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	http://web.archive.org/web/20161009012759/https://www.bostonglobe.com/news/nation/2016/09/05/colorado-revolt-against-legalized-marijuana/BkUOeZOThisG7ASJ56xmIM/story.html	40ba495b6dc19eccf2cd9ba2ec6ec71a	-	NoArgument	test
marijuana legalization	http://2016election.procon.org/view.answers.election.php?questionID=002059	http://web.archive.org/web/20160825001951/http://2016election.procon.org/view.answers.election.php?questionID=002059	027f63bb17b8cb34827f7ece5b8ba66f	-	NoArgument	test
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	795a83a951ba172666a58334710d3255	-	NoArgument	train
marijuana legalization	https://news.vice.com/story/heres-who-bankrolls-the-fight-against-marijuana-legalization	http://web.archive.org/web/20161027114055/https://news.vice.com/story/heres-who-bankrolls-the-fight-against-marijuana-legalization	c71c6f836b33e06f47f7eb227d59c49e	-	Argument_against	train
marijuana legalization	http://www.webmd.com/a-to-z-guides/video/recreational-marijuana	http://web.archive.org/web/20160912124928/http://www.webmd.com/a-to-z-guides/video/recreational-marijuana	49be153613d3ea10630c0cc0daebad81	-	NoArgument	train
marijuana legalization	http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	http://web.archive.org/web/20161013192633/http://health.usnews.com/health-news/patient-advice/articles/2016-10-12/marijuanas-public-health-pros-and-cons	d4386f15a1e031b66e6179e1a89970f5	-	NoArgument	train
marijuana legalization	http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	http://web.archive.org/web/20161111222449/http://miami.cbslocal.com/2016/10/10/ballot-breakdown-pros-cons-of-medical-marijuana-in-florida/	4d4dd21ea653da5dd7c46cb14832162b	-	NoArgument	train
marijuana legalization	http://www.courant.com/politics/hc-connecticut-legal-marijuana-hearing-20160405-story.html	http://web.archive.org/web/20160510054131/http://www.courant.com:80/politics/hc-connecticut-legal-marijuana-hearing-20160405-story.html	9ac3d66bf43cd42595810b9eef9a6acd	-	Argument_for	train
marijuana legalization	http://www.alternet.org/drugs/6-powerful-reasons-new-york-times-says-end-marijuana-prohibition	http://web.archive.org/web/20161115135646/http://www.alternet.org/drugs/6-powerful-reasons-new-york-times-says-end-marijuana-prohibition	9d9a6b4dbbf1c2f28e112780cf652f4b	-	Argument_for	test
marijuana legalization	https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	http://web.archive.org/web/20161112203346/https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition	25ed08f0ec3d8307218430c4dccf0f6a	-	NoArgument	train
