topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	c57bdff07a0a3a9c5eb5b1c7591e565d	-	NoArgument	train
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	3a08fdf0fe44ee79ba48a30f75577a08	-	NoArgument	train
nuclear energy	http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	http://web.archive.org/web/20161010062057/http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	8c7760df4f57e3a9f4c2a47a525dfba6	-	NoArgument	train
nuclear energy	https://en.wikipedia.org/wiki/Nuclear_power_debate	http://web.archive.org/web/20170127104548/https://en.wikipedia.org/wiki/Nuclear_power_debate	ffa3b0d9d807214bcbf900956731cfc6	-	Argument_for	train
nuclear energy	http://www.triplepundit.com/special/energy-options-pros-and-cons/nuclear-energy-pros-and-cons/	http://web.archive.org/web/20160802090500/http://www.triplepundit.com:80/special/energy-options-pros-and-cons/nuclear-energy-pros-and-cons	db00ebb4068488a709c670606ee1af2f	-	NoArgument	test
nuclear energy	https://www.cleanenergywire.org/factsheets/history-behind-germanys-nuclear-phase-out	http://web.archive.org/web/20170208214332/https://www.cleanenergywire.org/factsheets/history-behind-germanys-nuclear-phase-out	f3dbe59254948734e5478721329482dd	-	NoArgument	train
nuclear energy	https://en.wikipedia.org/wiki/Campaign_Against_Nuclear_Energy	http://web.archive.org/web/20161110052015/https://en.wikipedia.org/wiki/Campaign_Against_Nuclear_Energy	d2d681cbad6af3a6bd9b03fadf326099	-	NoArgument	test
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	ef8303e0f6b845bda299b048921f729b	-	NoArgument	val
nuclear energy	http://alternativeenergy.procon.org/view.answers.php?questionID=001270	http://web.archive.org/web/20150209215255/http://alternativeenergy.procon.org/view.answers.php?questionID=001270	b055e767bf5f5ebd133e028069b9da46	-	Argument_against	val
nuclear energy	http://www.clearpictureonline.com/SO-Nuclear%20Power.html	http://web.archive.org/web/20160801192637/http://www.clearpictureonline.com:80/SO-Nuclear%20Power.html	d45585b3d62f4f327f88d1788b5d1126	-	Argument_against	val
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	76776c97c350f5dcd45f5d97cdb41e4d	-	Argument_against	train
nuclear energy	https://en.wikipedia.org/wiki/Nuclear_power_debate	http://web.archive.org/web/20170127104548/https://en.wikipedia.org/wiki/Nuclear_power_debate	385bd3547708c115b193a95cba6e28d1	-	NoArgument	test
nuclear energy	http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	http://web.archive.org/web/20161010062057/http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	a46176817cfe7a15b8539bb40e10a750	-	NoArgument	train
nuclear energy	http://energyinformative.org/nuclear-energy-pros-and-cons/	http://web.archive.org/web/20160720150233/http://energyinformative.org:80/nuclear-energy-pros-and-cons/	65ffad044de3ce8a640ae873fee15525	-	NoArgument	test
nuclear energy	http://www.slate.com/articles/health_and_science/the_green_lantern/2010/07/the_nuclear_option.html	http://web.archive.org/web/20160608110749/http://www.slate.com:80/articles/health_and_science/the_green_lantern/2010/07/the_nuclear_option.html	269898943dc42de5f8c8a58788845532	-	Argument_for	train
nuclear energy	http://www.clearpictureonline.com/SO-Nuclear%20Power.html	http://web.archive.org/web/20160801192637/http://www.clearpictureonline.com:80/SO-Nuclear%20Power.html	dd3c0df6bc7219127d0c784de220b7ca	-	Argument_for	train
nuclear energy	http://www.cnduk.org/campaigns/nuclear-power	http://web.archive.org/web/20160724162935/http://www.cnduk.org:80/campaigns/nuclear-power	40a3995eb8b005698d7490cdc4de5329	-	Argument_against	train
nuclear energy	http://debatepedia.idebate.org/en/index.php/Debate:_Nuclear_energy	http://web.archive.org/web/20160627081957/http://debatepedia.idebate.org:80/en/index.php/Debate:_Nuclear_energy	19bee549ec48801a20b1978d47cc3ef4	-	Argument_against	train
nuclear energy	http://greenliving.lovetoknow.com/Advantages_and_Disadvantages_of_Nuclear_Energy	http://web.archive.org/web/20160721050325/http://greenliving.lovetoknow.com:80/Advantages_and_Disadvantages_of_Nuclear_Energy	aed22c9e919c515d613727480c05e756	-	NoArgument	train
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	3cc2cb9c17390560ac883883c2618fc0	-	NoArgument	val
nuclear energy	http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	http://web.archive.org/web/20161010062057/http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	c6cbbb6bb561decbceaeef69e8164351	-	NoArgument	train
nuclear energy	http://www.nytimes.com/2012/02/26/opinion/sunday/sunday-dialogue-nuclear-energy-pro-and-con.html	http://web.archive.org/web/20170128194758/http://www.nytimes.com/2012/02/26/opinion/sunday/sunday-dialogue-nuclear-energy-pro-and-con.html	ee8269ab033c1aa717440364a575043f	-	NoArgument	train
