topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
school uniforms	http://education.newarchaeology.com/against_school_uniforms.php	http://web.archive.org/web/20160817231333/http://education.newarchaeology.com:80/against_school_uniforms.php	b095f443232cf1a6962c9ac6bf65d264	-	Argument_against	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-mandatory/	http://web.archive.org/web/20160629081940/http://www.listland.com:80/top-10-reasons-school-uniforms-mandatory/	45964f3da335c382efdf2ced6aad7a61	-	Argument_against	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	f2dafb6e4c92b456c6781f27b38022f6	-	NoArgument	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-should-be-banned/	http://web.archive.org/web/20160710151116/http://www.listland.com:80/top-10-reasons-school-uniforms-should-be-banned/	85555c58a702d2b30497b54947833cd2	-	Argument_for	train
school uniforms	https://en.wikipedia.org/wiki/School_uniform	http://web.archive.org/web/20161209024202/https://en.wikipedia.org/wiki/School_uniform	092006216db0a58ee854449b363d986d	-	NoArgument	val
school uniforms	http://vaccines.procon.org/view.answers.php?questionID=001606	http://web.archive.org/web/20160621003617/http://vaccines.procon.org:80/view.answers.php?questionID=001606	e85defa673d93dc88625fb20a50a3dc3	-	NoArgument	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	44ffc1a6eb76ba6a55f37abdc4bfe002	-	NoArgument	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	6d2d81a66f027fb12c3e30d2fa0a08e6	-	NoArgument	train
school uniforms	http://school-uniforms.procon.org/	http://web.archive.org/web/20170130080923/http://school-uniforms.procon.org/	5bdd54775ba01266825d1593d6500ec2	-	Argument_for	test
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	0146abd840b1faabeb41a34ab1b7f557	-	NoArgument	train
school uniforms	https://www.aclunc.org/our-work/know-your-rights/school-dress-codes-and-uniforms	http://web.archive.org/web/20160408220718/https://www.aclunc.org/our-work/know-your-rights/school-dress-codes-and-uniforms	009f072b5cf785e617554a6bdbeb6a91	-	NoArgument	train
school uniforms	http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Pros-Of-School-Uniforms-Why-Students-Should-Wear-School-Uniforms.htm	http://web.archive.org/web/20161112153618/http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Pros-Of-School-Uniforms-Why-Students-Should-Wear-School-Uniforms.htm	e20ba8fff1c15bc066bbdb01b59fa3c9	-	Argument_for	train
school uniforms	http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Arguments-Against-School-Uniforms.htm	http://web.archive.org/web/20161112202229/http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Arguments-Against-School-Uniforms.htm	0389c0ed8103ff6fe9e70ca0b1dccf6c	-	Argument_against	train
school uniforms	http://school-uniforms.procon.org/	http://web.archive.org/web/20170130080923/http://school-uniforms.procon.org/	c8492ddb818113193c90af63720b8926	-	Argument_against	test
school uniforms	http://www.optionality.net/mag/oct98a.html	http://web.archive.org/web/20160711225016/http://www.optionality.net:80/mag/oct98a.html	aa14261ba8e45d59f941fd3640df2183	-	NoArgument	train
school uniforms	http://debatepedia.idebate.org/en/index.php/Debate:_School_uniform	http://web.archive.org/web/20160709035437/http://debatepedia.idebate.org:80/en/index.php/Debate:_School_uniform	0aa1747f90651267cb310f6291dd12ce	-	Argument_for	train
school uniforms	http://www.unr.edu/nevada-today/news/2013/school-uniform-study	http://web.archive.org/web/20170208002134/http://www.unr.edu/nevada-today/news/2013/school-uniform-study/	aedfad5638173d85b8bb376e21a1c06a	-	NoArgument	train
school uniforms	http://www.debate.org/opinions/should-kids-have-to-wear-school-uniforms	http://web.archive.org/web/20160719015848/http://www.debate.org:80/opinions/should-kids-have-to-wear-school-uniforms	58f01ee9798ad33f0f5c4beae4c09b5e	-	Argument_against	train
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	e01a79fc3bb2cc0849bd11ff853d693b	-	NoArgument	train
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	2bf0c01d5d479f3c7c09e400803c2aea	-	NoArgument	train
school uniforms	http://school-uniforms.procon.org/	http://web.archive.org/web/20170130080923/http://school-uniforms.procon.org/	9b68c42bf3c662e7107725f54aef4498	-	Argument_against	test
school uniforms	http://school-uniforms.procon.org/view.answers.php?questionID=001903	http://web.archive.org/web/20160716122905/http://school-uniforms.procon.org:80/view.answers.php?questionID=001903	b1fa0c1708e4bc17e43c4820fd115dd2	-	Argument_for	test
school uniforms	https://en.wikipedia.org/wiki/School_uniform	http://web.archive.org/web/20161209024202/https://en.wikipedia.org/wiki/School_uniform	3d8a0d302aac994162b6313e846c1330	-	NoArgument	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-mandatory/	http://web.archive.org/web/20160629081940/http://www.listland.com:80/top-10-reasons-school-uniforms-mandatory/	d33353ac40d9db34fa16fa26f7639ac0	-	NoArgument	train
school uniforms	http://2016election.procon.org/view.resource.php?resourceID=006327	http://web.archive.org/web/20170118172608/http://2016election.procon.org/view.resource.php?resourceID=006327	6e46a9d0247d590b69427665ea21c543	-	NoArgument	train
school uniforms	https://en.wikipedia.org/wiki/School_uniform	http://web.archive.org/web/20161209024202/https://en.wikipedia.org/wiki/School_uniform	1741c3beba437fd786a5631ea6949834	-	Argument_against	val
school uniforms	http://www.optionality.net/mag/oct98a.html	http://web.archive.org/web/20160711225016/http://www.optionality.net:80/mag/oct98a.html	e734685fcb36ee5ca41ce37b1706ca7d	-	Argument_against	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-mandatory/	http://web.archive.org/web/20160629081940/http://www.listland.com:80/top-10-reasons-school-uniforms-mandatory/	eaf646240cecc19d6229c9b494dc3eb5	-	Argument_against	train
school uniforms	http://www.gate.net/~rwms/UniformDWilliams.html	http://web.archive.org/web/20160423015559/http://www.gate.net:80/~rwms/UniformDWilliams.html	5829887361e7e0c8b791e37e5443c28a	-	Argument_against	train
school uniforms	http://www.gate.net/~rwms/UniformDWilliams.html	http://web.archive.org/web/20160423015559/http://www.gate.net:80/~rwms/UniformDWilliams.html	558d21695fe00d88b405ba514c56b936	-	NoArgument	train
school uniforms	http://www.unr.edu/nevada-today/news/2013/school-uniform-study	http://web.archive.org/web/20170208002134/http://www.unr.edu/nevada-today/news/2013/school-uniform-study/	50b8b0bbf12d08d32708dc50bfa36524	-	NoArgument	train
school uniforms	https://www.creditdonkey.com/school-uniform-statistics.html	http://web.archive.org/web/20160316163320/http://www.creditdonkey.com/school-uniform-statistics.html	83f6cfbac385da6ed172cdbc972b5a68	-	NoArgument	train
school uniforms	http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Arguments-Against-School-Uniforms.htm	http://web.archive.org/web/20161112202229/http://kidsfashion.about.com/od/doityourselfstyles/tp/The-Arguments-Against-School-Uniforms.htm	baa79204b0cc67efdc9e192b6bf0c0ae	-	NoArgument	test
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-should-be-banned/	http://web.archive.org/web/20160710151116/http://www.listland.com:80/top-10-reasons-school-uniforms-should-be-banned/	00353d19f7c0f512f81eece9242b816f	-	Argument_against	test
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	b9d5f86752aed769a2acf71dd49f8d10	-	NoArgument	train
school uniforms	https://www.theguardian.com/commentisfree/2014/nov/07/wearing-school-uniform-doesnt-help-us-learn	http://web.archive.org/web/20160619163450/http://www.theguardian.com:80/commentisfree/2014/nov/07/wearing-school-uniform-doesnt-help-us-learn	0721b10d3097904981558506bd1d8d6f	-	Argument_against	train
school uniforms	http://collegefootball.procon.org/	http://web.archive.org/web/20160621012142/http://collegefootball.procon.org:80/	068a166e5e3d0ee652186050a38ccd7a	-	NoArgument	train
school uniforms	http://www.optionality.net/mag/oct98a.html	http://web.archive.org/web/20160711225016/http://www.optionality.net:80/mag/oct98a.html	e09f637f4ec699204a9b296cea0d9cd2	-	NoArgument	val
school uniforms	http://www.angelfire.com/ca/bygranite/uniforms/args.html	http://web.archive.org/web/20160716075420/http://www.angelfire.com:80/ca/bygranite/uniforms/args.html	3d1bfa2d01a9269c7083929c5e7dcd30	-	NoArgument	test
school uniforms	http://www.optionality.net/mag/oct98a.html	http://web.archive.org/web/20160711225016/http://www.optionality.net:80/mag/oct98a.html	b0bd9dc57d90ff29a61a63b45bb7dbe5	-	Argument_against	train
school uniforms	http://vaccines.procon.org/view.answers.php?questionID=001606	http://web.archive.org/web/20160621003617/http://vaccines.procon.org:80/view.answers.php?questionID=001606	255e2c3a6f15ce421a1377836a712de6	-	NoArgument	train
school uniforms	http://www.listland.com/top-10-reasons-school-uniforms-should-be-banned/	http://web.archive.org/web/20160710151116/http://www.listland.com:80/top-10-reasons-school-uniforms-should-be-banned/	b119db4660bd5587aec97a892848ab91	-	NoArgument	test
school uniforms	http://school-uniforms.procon.org/view.answers.php?questionID=001903	http://web.archive.org/web/20160716122905/http://school-uniforms.procon.org:80/view.answers.php?questionID=001903	873b2d700e0d6a6a0c7a1fba78db6212	-	Argument_against	test
